問い合わせ番号,ステータス,発注機関,機関タイプ,発注地域,件名,フェーズ,サブカテゴリ,年度,入札種別,案件登録日,入札日,開札日,落札会社名,落札金額,落札金額(数値),予定金額,応札企業,応札社数,ノイズ判定,重複除外,採用レコード
R25709581,落札結果,その他愛知県市町村/犬山市,市区町村,愛知県,ビジネスチャット及び生成ＡＩサービス利用業務【犬山市】,⑤運用,,,,,,2025-04-01,株式会社フューチャーイン,3238620,3238620,,,,,,○
R25708129,落札結果,さいたま市,市区町村,埼玉県,さいたま市保育関連AIチャットボットシステム運用保守業務【さいたま市】,⑤運用,,,,,,2025-04-01,日本トータルテレマーケティング株式会社,2666400,2666400,,,,,,○
R25708121,落札結果,さいたま市,市区町村,埼玉県,さいたま市ひとり親関連AIチャットボットシステム運用保守業務【さいたま市】,⑤運用,,,,,,2025-04-01,日本トータルテレマーケティング株式会社,2112000,2112000,,,,,,○
R25708065,落札結果,さいたま市,市区町村,埼玉県,令和7年度さいたま市AIチャットボットシステム管理運用業務【さいたま市】,⑤運用,,,,,,2025-04-01,日本トータルテレマーケティング株式会社,1650000,1650000,,,,,,○
R25705839,落札結果,大阪府,都道府県,大阪府,生成ＡＩ庁内利活用推進事業,④構築,生成AI（その他）,,,,,2025-04-01,富士通Ｊａｐａｎ株式会社,78739980,78739980,,,,,,○
R25604871,落札結果,佐賀県市町村/唐津市,市区町村,佐賀県,AIチャットボット運用・保守業務【唐津市】,⑤運用,,,,,,2025-04-01,株式会社サイネックス,1452000,1452000,,,,,,○
R25562667,落札結果,外務省,国,東京都,生成ＡＩ環境の運用,⑤運用,,,,,,2025-04-01,株式会社ＦＩＸＥＲ,74580000,74580000,74580000,,,,,○
R25524138,落札結果,三重県市町村/伊賀市,市区町村,三重県,伊賀市文章生成AIサービス【伊賀市】,④構築,生成AI（その他）,,,,,2025-04-01,株式会社ＦＩＸＥＲ,1152000,1152000,1152000,{応札企業名＝株式会社ＦＩＸＥＲ、応札結果・備考＝落札、応札金額＝1152000},3,,,○
N20023262,入札中,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト5G情報通信システム基盤強化研究開発事業／ロボティクス分野の生成AI基盤モデルの開発に向けたデータプラットフォームに係る開発（委託）,④構築,生成AI（その他）,FY2025,競争・公募,2025-03-31,2025-05-29,,,,,,,,,,○
N20020573,入札中,独立行政法人産業技術総合研究所,独法,茨城県,農薬評価書用チャットボット候補の高精度化及び、最適な活用方法の探索,④構築,チャットボット,FY2025,競争・公募,2025-03-31,2025-04-21,,,,,,,,,,○
N20020195,入札中,北海道,都道府県,北海道,生成AI活用推進業務,④構築,生成AI（その他）,FY2025,競争・公募,2025-03-31,2025-04-24,,,,,,,,,,○
N20019381,入札中,静岡県,都道府県,静岡県,令和7年度AI活用画像生成AIサービス業務,④構築,生成AI（その他）,FY2025,競争・公募,2025-03-31,2025-04-17,,,,,,,,,,○
N20018876,入札中,その他,その他,全国,【米軍案件】BATTERY、STORAGE,④構築,RAG構築,FY2024,競争・公募,2025-03-31,,,,,,,,,,,○
R26051344,落札結果,国立大学法人,,東京都,DuraGen 人工硬膜 ID3301I 1枚,,,,,,,2025-03-31,株式会社フジタ医科器械,5135625,5135625,,,,ノイズ,,
R26049748,落札結果,東京23区/港区,市区町村,東京都,RAG機能付生成AIサービスの利用に関する契約【港区】,④構築,RAG構築,,,,,2025-03-31,株式会社エクサウィザーズ,3854400,3854400,,,,,,○
R26025130,落札結果,北九州市,市区町村,福岡県,LGWAN-ASP型生成AIサービス「４U Brain」提供業務【北九州市】,④構築,生成AI（その他）,,,,,2025-03-31,寶結株式会社,2706000,2706000,2706000,,,,,○
R25692962,落札結果,独立行政法人情報処理推進機構,独法,東京都,生成AIを用いたチャットUI環境の運用・保守,⑤運用,,,,,,2025-03-31,株式会社システムサポート,9681392,9681392,9681392,,,,,○
R25469269,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,「ポスト５Ｇ情報通信システム基盤強化研究開発事業／ポスト５Ｇ情報通信システムの開発」生成AI開発加速に向けたマルチモーダル医療データおよび医療AIの利活用に係る調査,④構築,生成AI（その他）,,,,,2025-03-31,株式会社 HEMILLIONS医用画像通信技術研究組合,,,,,,,,○
R25423737,落札結果,川崎市,市区町村,神奈川県,令和７年度 川崎市ＡＩチャットボットシステム運用保守業務委託【川崎市】,⑤運用,,,,,,2025-03-31,キステム 株式会社 東京支社,2994000,2994000,,{応札企業名＝キステム　株式会社　東京支社、応札結果・備考＝第1回:決定、応札金額＝2994000},3,,,○
N20016270,入札中,その他,その他,全国,【米軍案件】DRAG BEAM、AIRCRAFT、,④構築,RAG構築,FY2024,競争・公募,2025-03-28,,,,,,,,,,,○
R27034831,落札結果,その他千葉県市町村/船橋市,市区町村,千葉県,生成AIサービス使用【船橋市】,④構築,生成AI（その他）,,,,,2025-03-28,シフトプラス株式会社,2400000,2400000,,,,,,○
R25656389,落札結果,独立行政法人科学技術振興機構,独法,埼玉県,次期Ｊ－ＧＬＯＢＡＬに向けた生成ＡＩ活用技術調査,④構築,生成AI（その他）,,,,,2025-03-28,合同会社大人検索,12174250,12174250,,,,,,○
R25542418,落札結果,国立大学法人,,愛媛県,医療用消耗材料 （DuraGen 人工硬膜 ID4501I 外11件）,,,,,,,2025-03-28,株式会社サンメディカル,,,,,,ノイズ,,
R25471565,落札結果,その他神奈川県市町村/茅ヶ崎市,市区町村,神奈川県,令和７年度茅ヶ崎市電子市役所推進支援業務（生成ＡＩの活用）【茅ヶ崎市】,④構築,活用支援・コンサル,,,,,2025-03-28,ＳＤＴ株式会社,560000,560000,,,,,,○
N20009484,入札中,独立行政法人土木研究所,独法,茨城県,生成AIによる異常事象検知等の高度化等に関する検証業務,③PoC,,FY2025,競争・公募,2025-03-27,2025-04-23,,,,,,,,,,○
R25875794,落札結果,その他兵庫県市町村/芦屋市,市区町村,兵庫県,芦屋市生成AIサービス及びビジネスチャットツール提供業務【芦屋市】,④構築,生成AI（その他）,,,,,2025-03-27,シフトプラス株式会社,,,,,,,,○
R25659229,落札結果,防衛装備庁,国,東京都,生成ＡＩを活用したナラティブ分析装置の研究,④構築,生成AI（その他）,,,,,2025-03-27,株式会社デジタルレシピ,2048492053,2048492053,,,,,,○
N20003406,入札中,仙台市,市区町村,宮城県,仙台市生成AI導入実証等業務委託【仙台市】,③PoC,,FY2025,競争・公募,2025-03-26,2025-05-12,,,,,,,,,,○
R26463780,落札結果,独立行政法人農業・食品産業技術総合研究機構,独法,茨城県,労働者派遣業務（生成AI開発のためのデータ収集に係るデータベース・サーバ構築・管理支援業務）,④構築,生成AI（その他）,,,,,2025-03-26,株式会社ヒミカ,10315250,10315250,,,,,,○
R26463779,落札結果,独立行政法人農業・食品産業技術総合研究機構,独法,茨城県,労働者派遣業務（生成AI開発のためのデータ収集とモデル構築に係るプログラム開発支援業務）,④構築,生成AI（その他）,,,,,2025-03-26,株式会社潮見サービス,3635060,3635060,,,,,,○
R25695112,落札結果,独立行政法人工業所有権情報・研修館,独法,東京都,生成AIサービス（Microsoft365Copilot）の導入,④構築,生成AIサービス導入,,,,,2025-03-26,株式会社日立システムズ,3617625,3617625,,,,,,○
R25456029,落札結果,大阪府,都道府県,大阪府,労働相談チャットボットシステム運用保守業務,⑤運用,,,,,,2025-03-26,リコージャパン株式会社,765600,765600,,,,,,○
R25406834,落札結果,東京都,都道府県,東京都,都立学校向け生成ＡＩ利用サービスの構築及び機能拡張・保守・運用等業務委託,⑤運用,,,,,,2025-03-26,コニカミノルタジャパン株式会社,326700000,326700000,,"{応札企業名＝コニカミノルタジャパン株式会社、応札結果・備考＝、応札金額＝297000000},{応札企業名＝スタディポケット株式会社、応札結果・備考＝、応札金額＝168000000},{応札企業名＝株式会社内田洋行、応札結果・備考＝、応札金額＝194000000},{応札企業名＝株式会社ＦＩＸＥＲ、応札結果・備考＝、応札金額＝346642410},{応札企業名＝株式会社エクサウィザーズ、応札結果・備考＝、応札金額＝272700000},{応札企業名＝株式会社ヘッドウォータース、応札結果・備考＝無効、応札金額＝},{応札企業名＝Ｓｋｙ株式会社、応札結果・備考＝無効、応札金額＝}",21,,,○
N19997681,入札中,厚生労働省,国,東京都,内部事務の効率化に向けた生成ＡＩ活用による技術検証 一式,③PoC,,FY2025,随意,2025-03-25,2025-04-14,,,,,,,,,,○
R25665936,落札結果,独立行政法人防災科学技術研究所,独法,茨城県,「生成ＡＩを活用した被災者支援サービス開発基盤」の技術調査・検討業務,④構築,生成AI（その他）,,,,,2025-03-25,スマイルフォース株式会社,6600000,6600000,,,,,,○
R25567736,落札結果,茨城県,都道府県,茨城県,令和７年度チャットボットサービス提供業務（行政経営課）,④構築,チャットボット,,,,,2025-03-25,株式会社ビースポーク,5760000,5760000,,"{応札企業名＝株式会社ビースポーク、応札結果・備考＝、応札金額＝5760000},{応札企業名＝株式会社Ｌ　ｉｓ　Ｂ、応札結果・備考＝、応札金額＝8520000}",6,,,○
N19993001,入札中,その他,その他,全国,【米軍案件】REMOVABLE STORAGE (,④構築,RAG構築,FY2024,競争・公募,2025-03-24,,,,,,,,,,,○
R25938012,落札結果,岐阜県市町村/大垣市,市区町村,岐阜県,大垣市ＡＩチャットボットサービス運用・保守業務委託【大垣市】,⑤運用,,,,,,2025-03-24,株式会社サイネックス,1320000,1320000,,,,,,○
R25806135,落札結果,防衛省,,岐阜県,ＤＩＡＰＨＲＡＧＭ外３品目,,,,,,,2025-03-24,丸紅エアロスペース株式会社,13915000,13915000,13937000,,,ノイズ,,
R25714431,落札結果,栃木県市町村/大田原市,市区町村,栃木県,庁内案内AIチャットボット保守業務委託【大田原市】,⑤運用,,,,,,2025-03-24,株式会社ビースポーク,1129920,1129920,,,,,,○
N19988724,入札中,その他,その他,全国,【米軍案件】SEAL、ANTIPILFERAGE,④構築,RAG構築,FY2024,競争・公募,2025-03-21,,,,,,,,,,,○
N19988664,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2025-03-21,,,,,,,,,,,○
N19988663,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2025-03-21,,,,,,,,,,,○
N19988646,入札中,その他,その他,全国,【米軍案件】REMOVABLE STORAGE (,④構築,RAG構築,FY2024,競争・公募,2025-03-21,,,,,,,,,,,○
N19987584,入札中,札幌市,市区町村,北海道,生成AI技術活用推進に向けた実証実験に係る情報提供依頼（RFI）【札幌市】,②設計,,FY2025,競争・公募,2025-03-21,2025-04-30,,,,,,,,,,○
N19986375,入札中,文部科学省,国,東京都,令和７年度大学入学者選抜改革推進委託事業（生成AI等の活用）,④構築,生成AI（その他）,FY2025,競争・公募,2025-03-21,2025-05-09,,,,,,,,,,○
N19985953,入札中,外務省,国,東京都,会計手続システムにおけるチャットボット機能の運用保守業務一式,⑤運用,,FY2025,随意,2025-03-21,2025-04-08,,,,,,,,,,○
R25829643,落札結果,岐阜県市町村/瑞穂市,市区町村,岐阜県,総合案内型ＡＩチャットボットサービス利用料【瑞穂市】,⑤運用,,,,,,2025-03-21,株式会社アイネス 中部支社,792000,792000,792000,,,,,○
R25705225,落札結果,独立行政法人都市再生機構,独法,神奈川県,ＵＲ賃貸住宅募集等業務におけるチャットボットの運用支援業務,⑤運用,,,,,,2025-03-21,株式会社電通,27984000,27984000,31030890,,,,,○
R25649480,落札結果,岐阜県,都道府県,岐阜県,教育用生成AI文章添削システムの調達について,④構築,教育・学校AI,,,,,2025-03-21,不調 （ くじ引き結果 ）,,,,{応札企業名＝株式会社ナガセ、応札結果・備考＝予定価格超過、応札金額＝10800000},3,,,○
R25468411,落札結果,広島県,都道府県,広島県,ＡＩチャットボットシステムサービス提供業務,④構築,チャットボット,,,,,2025-03-21,株式会社 ビースポーク,5670000,5670000,6237000,{応札企業名＝株式会社　ビースポーク、応札結果・備考＝落札、応札金額＝1890000/5670000},3,,,○
R25386580,落札結果,東京都,都道府県,東京都,令和７年度次期チャットボットシステム検討委託,④構築,チャットボット,,,,,2025-03-21,予定価格超過,,,,{応札企業名＝株式会社博報堂アイ・スタジオ、応札結果・備考＝、応札金額＝42000000},3,,,○
R25386571,落札結果,東京都,都道府県,東京都,令和７年度次期チャットボットシステム検討委託,④構築,チャットボット,,,,,2025-03-21,株式会社博報堂アイ・スタジオ,44000000,44000000,,{応札企業名＝株式会社博報堂アイ・スタジオ、応札結果・備考＝、応札金額＝40000000},3,,,○
N19984174,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2025-03-19,,,,,,,,,,,○
N19984173,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2025-03-19,,,,,,,,,,,○
